<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Аэрофлот;D;19/03/18;000000;162.6;162.75;159.35;159.35;3979000;0
Аэрофлот;D;20/03/18;000000;159.4;161.15;158.85;160.15;2451700;0
Аэрофлот;D;21/03/18;000000;160.85;163.25;159.75;159.75;5777800;0
Аэрофлот;D;22/03/18;000000;159.95;160.6;155.55;156.5;5136400;0
Аэрофлот;D;23/03/18;000000;155.5;159.7;151.9;158.35;13160500;0
Аэрофлот;D;26/03/18;000000;158.05;161.45;155.85;157.25;6998200;0
Аэрофлот;D;27/03/18;000000;157.2;158.8;153.75;154.25;5284100;0
Аэрофлот;D;28/03/18;000000;154.25;155.85;152.75;154;3421800;0
Аэрофлот;D;29/03/18;000000;154.15;155.5;153.65;154.2;2347200;0
Аэрофлот;D;30/03/18;000000;155.2;155.7;154.55;155.6;1388800;0
Аэрофлот;D;02/04/18;000000;155.6;157.2;154.75;156.25;2486700;0
Аэрофлот;D;03/04/18;000000;156.75;156.75;153.7;156.25;2900600;0
Аэрофлот;D;04/04/18;000000;156.25;156.6;154.95;156.05;1806900;0
Аэрофлот;D;05/04/18;000000;156.25;158.5;154.1;158.05;3557900;0
Аэрофлот;D;06/04/18;000000;157.8;158.2;156.25;157.3;2356400;0
Аэрофлот;D;09/04/18;000000;157.2;157.2;137.55;144;25695500;0
Аэрофлот;D;10/04/18;000000;143.3;148;140.55;144.8;11812700;0
Аэрофлот;D;11/04/18;000000;145.35;147.5;140.7;143.5;10242800;0
Аэрофлот;D;12/04/18;000000;145.5;148.2;144.65;147.05;4060800;0
Аэрофлот;D;13/04/18;000000;147.3;148.8;142.65;144.85;4671400;0
Аэрофлот;D;16/04/18;000000;142.45;146.7;141.2;145.4;3108800;0
Аэрофлот;D;17/04/18;000000;147.15;148.7;146.2;147.3;2944700;0
Аэрофлот;D;18/04/18;000000;147.65;154.45;147.25;153.55;5013600;0
Аэрофлот;D;19/04/18;000000;154.55;155.75;149.65;150.95;4121100;0
Аэрофлот;D;20/04/18;000000;149.95;151.15;148.55;149.4;2714100;0
Аэрофлот;D;23/04/18;000000;150.05;150.05;146.7;148.5;4346900;0
Аэрофлот;D;24/04/18;000000;148.5;149.3;146.15;146.6;3605000;0
Аэрофлот;D;25/04/18;000000;146.1;146.6;143.35;144.45;3619600;0
Аэрофлот;D;26/04/18;000000;144.45;145.9;143.6;145.6;3491800;0
Аэрофлот;D;27/04/18;000000;146.75;146.75;144.2;144.3;3266300;0
Аэрофлот;D;28/04/18;000000;144.3;145.65;144.05;144.85;798400;0
Аэрофлот;D;30/04/18;000000;145.2;146.25;143.15;144;2997500;0
Аэрофлот;D;02/05/18;000000;145.2;147.3;144;147.3;3201100;0
Аэрофлот;D;03/05/18;000000;146.95;147.25;143.5;144.2;5007400;0
Аэрофлот;D;04/05/18;000000;143.8;143.9;141.25;141.65;6367300;0
Аэрофлот;D;07/05/18;000000;141.75;142.75;141.4;141.9;2973400;0
Аэрофлот;D;08/05/18;000000;142;142;140;140.4;3154400;0
Аэрофлот;D;10/05/18;000000;140.85;141.8;139.05;139.8;8130600;0
Аэрофлот;D;11/05/18;000000;139.9;140.45;137.05;137.5;8455100;0
Аэрофлот;D;14/05/18;000000;137.55;137.55;132.05;136.15;9876400;0
Аэрофлот;D;15/05/18;000000;136.15;139.25;134.6;138;6973900;0
Аэрофлот;D;16/05/18;000000;137.95;138.45;136.8;137.95;3733000;0
Аэрофлот;D;17/05/18;000000;138.2;138.55;136.55;137.95;2495800;0
Аэрофлот;D;18/05/18;000000;137.9;137.9;136.15;136.75;1868200;0
Аэрофлот;D;21/05/18;000000;136.1;137.75;136.05;136.2;2426500;0
Аэрофлот;D;22/05/18;000000;136.2;136.85;134.2;135;3745200;0
Аэрофлот;D;23/05/18;000000;134.8;135.3;132.55;132.55;3699500;0
Аэрофлот;D;24/05/18;000000;132.6;133;130.65;132.7;3842200;0
Аэрофлот;D;25/05/18;000000;132.15;133.35;131.3;132.2;3865500;0
Аэрофлот;D;28/05/18;000000;132.45;133.85;131.3;131.55;3141200;0
Аэрофлот;D;29/05/18;000000;131.7;132.65;131.1;131.85;3629100;0
Аэрофлот;D;30/05/18;000000;133.75;139.85;133.7;139.85;20649700;0
Аэрофлот;D;31/05/18;000000;140;141.5;138.05;140.8;9245800;0
Аэрофлот;D;01/06/18;000000;139.75;140.7;139.15;139.65;2300700;0
Аэрофлот;D;04/06/18;000000;139.9;140.35;137.1;137.1;4968400;0
Аэрофлот;D;05/06/18;000000;137.1;139.45;137.1;139.25;3360400;0
Аэрофлот;D;06/06/18;000000;139.45;141.5;139.15;141.3;3754300;0
Аэрофлот;D;07/06/18;000000;141.55;145.8;141.2;145;7174500;0
Аэрофлот;D;08/06/18;000000;145;145.6;142.65;143.9;5068300;0
Аэрофлот;D;09/06/18;000000;143.9;144.95;143.8;144.35;422900;0
Аэрофлот;D;11/06/18;000000;144.35;145.45;141.8;142.7;3124900;0
Аэрофлот;D;13/06/18;000000;143.05;145.2;143.05;144.05;2454800;0
Аэрофлот;D;14/06/18;000000;144.05;144.55;143.25;143.55;1783000;0
Аэрофлот;D;15/06/18;000000;143.65;144.75;139.5;140.5;5508400;0
Аэрофлот;D;18/06/18;000000;139.75;140.95;139.1;139.65;2328200;0
Аэрофлот;D;19/06/18;000000;139.6;139.95;136.35;138;5192800;0
Аэрофлот;D;20/06/18;000000;137.85;141.4;137.85;141;2830500;0
Аэрофлот;D;21/06/18;000000;141;142.3;139.9;140.55;2716100;0
Аэрофлот;D;22/06/18;000000;140.55;141.3;139.85;140.55;2232700;0
Аэрофлот;D;25/06/18;000000;141;143.1;139.6;140.75;4074800;0
Аэрофлот;D;26/06/18;000000;141.25;141.5;140.6;140.65;1532900;0
Аэрофлот;D;27/06/18;000000;141.45;141.45;140;141.15;2642300;0
Аэрофлот;D;28/06/18;000000;141.85;142.3;139.25;139.8;3727400;0
Аэрофлот;D;29/06/18;000000;140.1;141.3;139.8;139.8;5094500;0
Аэрофлот;D;02/07/18;000000;140.4;140.65;139.85;140.15;4755600;0
Аэрофлот;D;03/07/18;000000;140.45;143.25;140;143.05;6692200;0
Аэрофлот;D;04/07/18;000000;143.2;143.45;138.4;140;14133000;0
Аэрофлот;D;05/07/18;000000;129;129.2;125.25;129.2;16406400;0
Аэрофлот;D;06/07/18;000000;128.8;130.85;128.35;129.55;5906600;0
Аэрофлот;D;09/07/18;000000;129.55;130.4;127.25;128.3;6014100;0
Аэрофлот;D;10/07/18;000000;128;128.4;126.55;126.55;4074700;0
Аэрофлот;D;11/07/18;000000;126.75;126.8;124.25;124.3;5050400;0
Аэрофлот;D;12/07/18;000000;124.85;126.25;123.5;124.8;4509600;0
Аэрофлот;D;13/07/18;000000;125;125.85;123.1;123.25;5899600;0
Аэрофлот;D;16/07/18;000000;123.25;124.1;122.6;123;4352400;0
Аэрофлот;D;17/07/18;000000;123.25;125.15;120.8;124.25;6207200;0
Аэрофлот;D;18/07/18;000000;124.55;125.3;122.55;123;4487300;0
Аэрофлот;D;19/07/18;000000;123;123.1;120.3;121;2999900;0
Аэрофлот;D;20/07/18;000000;121;122.3;120.1;121.45;2824900;0
Аэрофлот;D;23/07/18;000000;121.6;123.8;121.6;123.8;3535500;0
Аэрофлот;D;24/07/18;000000;124;124.75;122.15;122.15;2406200;0
Аэрофлот;D;25/07/18;000000;122;122.25;120.65;121.3;2552900;0
Аэрофлот;D;26/07/18;000000;121.35;122.85;121.35;122.7;3057500;0
Аэрофлот;D;27/07/18;000000;122.7;123.5;121.5;122.2;1669100;0
Аэрофлот;D;30/07/18;000000;122;122.75;121.35;121.7;1853200;0
Аэрофлот;D;31/07/18;000000;121.9;123;121.35;122.95;2165500;0
Аэрофлот;D;01/08/18;000000;123;125;121;121;4678900;0
Аэрофлот;D;02/08/18;000000;120.5;120.6;115.8;116;10320600;0
Аэрофлот;D;03/08/18;000000;116.2;118.1;113.65;118.1;5795000;0
Аэрофлот;D;06/08/18;000000;118.45;118.85;113.75;114.3;4266900;0
Аэрофлот;D;07/08/18;000000;114.6;115.85;113.5;114.25;2204900;0
Аэрофлот;D;08/08/18;000000;114.25;114.85;111;111.85;4951700;0
Аэрофлот;D;09/08/18;000000;108;111.65;98.15;109.7;21666100;0
Аэрофлот;D;10/08/18;000000;109.7;110.25;104.65;105;5778100;0
Аэрофлот;D;13/08/18;000000;104.5;107.05;103.55;105.75;3675600;0
Аэрофлот;D;14/08/18;000000;105.95;107.25;105;107.25;2042300;0
Аэрофлот;D;15/08/18;000000;107.6;115.75;107.15;107.4;14765100;0
Аэрофлот;D;16/08/18;000000;108.25;110.8;106.3;110.5;5636000;0
Аэрофлот;D;17/08/18;000000;110.65;111.5;108.1;109;2660100;0
Аэрофлот;D;20/08/18;000000;109.5;110.4;108.5;108.95;1188900;0
Аэрофлот;D;21/08/18;000000;109.25;109.5;106.8;108.35;2513000;0
Аэрофлот;D;22/08/18;000000;108;108.8;107.1;108.6;1623400;0
Аэрофлот;D;23/08/18;000000;108.35;108.5;105.2;105.65;2715800;0
Аэрофлот;D;24/08/18;000000;105;106.1;100.65;104.45;4862400;0
Аэрофлот;D;27/08/18;000000;104.5;106.5;104.25;106.2;1630500;0
Аэрофлот;D;28/08/18;000000;106.65;107.7;106.1;106.55;1739200;0
Аэрофлот;D;29/08/18;000000;106.35;111.8;105.5;111.8;3000600;0
Аэрофлот;D;30/08/18;000000;112.3;119.8;111.75;115.5;17200000;0
Аэрофлот;D;31/08/18;000000;116;116;112.6;115.5;4642700;0
Аэрофлот;D;03/09/18;000000;115.45;115.7;113.8;114.55;1189100;0
Аэрофлот;D;04/09/18;000000;114.7;115.45;111.2;112.75;2793400;0
Аэрофлот;D;05/09/18;000000;112.75;113;110.55;111.5;2282700;0
Аэрофлот;D;06/09/18;000000;111.4;111.4;108.1;108.1;2420500;0
Аэрофлот;D;07/09/18;000000;108.05;109.7;107.55;108.55;1800300;0
Аэрофлот;D;10/09/18;000000;109.1;109.45;105.65;106.5;2085300;0
Аэрофлот;D;11/09/18;000000;105.65;106.5;104.55;105.1;2777300;0
Аэрофлот;D;12/09/18;000000;105.5;108;103.3;107.2;4155200;0
Аэрофлот;D;13/09/18;000000;107.2;109.5;106.1;107.1;4539900;0
Аэрофлот;D;14/09/18;000000;107;107.25;104.8;105.75;3443200;0
Аэрофлот;D;17/09/18;000000;105.75;106.85;105.2;106.05;1676700;0
Аэрофлот;D;18/09/18;000000;106;109.5;106;109.15;5293400;0
Аэрофлот;D;19/09/18;000000;109.5;113.5;108.6;111.4;6489300;0
Аэрофлот;D;20/09/18;000000;111.5;112.55;110.2;111;6687000;0
Аэрофлот;D;21/09/18;000000;110.95;111;108.25;111;3894700;0
Аэрофлот;D;24/09/18;000000;110.65;111.3;108.55;108.95;3324000;0
Аэрофлот;D;25/09/18;000000;108.75;109.35;106.6;106.65;4146800;0
Аэрофлот;D;26/09/18;000000;106.7;107.5;106;106.7;2706300;0
Аэрофлот;D;27/09/18;000000;106.9;108.45;106.2;107.05;3439600;0
Аэрофлот;D;28/09/18;000000;107.6;107.65;105.25;106.55;3217400;0
Аэрофлот;D;01/10/18;000000;106.55;106.85;105.8;106.2;1532500;0
Аэрофлот;D;02/10/18;000000;106.25;107.95;105.55;106.4;2310500;0
Аэрофлот;D;03/10/18;000000;106.4;107.6;106.1;107.1;2022800;0
Аэрофлот;D;04/10/18;000000;107.1;108.2;106.4;106.4;2396300;0
Аэрофлот;D;05/10/18;000000;106.35;106.35;103.45;104.65;3228300;0
Аэрофлот;D;08/10/18;000000;104.6;104.7;101.5;102.65;3266900;0
Аэрофлот;D;09/10/18;000000;103;103.95;102.05;102.1;2082800;0
Аэрофлот;D;10/10/18;000000;102;105.05;101.7;102.15;3410600;0
Аэрофлот;D;11/10/18;000000;101;102.15;100.1;100.9;3565400;0
Аэрофлот;D;12/10/18;000000;101;104.15;101;102;3201000;0
Аэрофлот;D;15/10/18;000000;101.9;102.9;100.15;100.15;3408000;0
Аэрофлот;D;16/10/18;000000;100.2;101.25;98.5;99;4331900;0
Аэрофлот;D;17/10/18;000000;100.15;100.45;97.65;98;3715400;0
Аэрофлот;D;18/10/18;000000;97.6;97.85;95.2;96;6686900;0
Аэрофлот;D;19/10/18;000000;95.9;97.25;94.7;95.5;4039200;0
Аэрофлот;D;22/10/18;000000;94.9;96.7;91.5;92.4;4346900;0
Аэрофлот;D;23/10/18;000000;91.15;92.45;89.45;92.3;5686000;0
Аэрофлот;D;24/10/18;000000;92.65;94;91.8;92.9;4391600;0
Аэрофлот;D;25/10/18;000000;91.6;93.8;90.65;91.85;3123700;0
Аэрофлот;D;26/10/18;000000;91.9;92.5;89.95;91.6;3431100;0
Аэрофлот;D;29/10/18;000000;90.4;94.7;90.4;94.05;5173600;0
Аэрофлот;D;30/10/18;000000;94.05;98.25;93.7;98.25;7257700;0
Аэрофлот;D;31/10/18;000000;98.4;99.9;96.5;97.25;7462500;0
Аэрофлот;D;01/11/18;000000;97.88;98.5;96;96.88;5814700;0
Аэрофлот;D;02/11/18;000000;97;101.78;95.72;101.78;10681900;0
Аэрофлот;D;06/11/18;000000;101.6;103.8;100.24;102.4;4511060;0
Аэрофлот;D;07/11/18;000000;102;102.18;98.88;100.6;6026220;0
Аэрофлот;D;08/11/18;000000;100.3;100.94;97.62;98.5;5643500;0
Аэрофлот;D;09/11/18;000000;98.16;98.16;95.14;95.14;5591930;0
Аэрофлот;D;12/11/18;000000;95.92;98;95.7;96.9;4167490;0
Аэрофлот;D;13/11/18;000000;97;97.92;95.64;97.4;3519290;0
Аэрофлот;D;14/11/18;000000;97.96;103.3;97.24;103.3;10868770;0
Аэрофлот;D;15/11/18;000000;103.3;104.1;101.56;102.74;5802840;0
Аэрофлот;D;16/11/18;000000;102.8;103.2;100.44;101.2;4466300;0
Аэрофлот;D;19/11/18;000000;102.1;102.6;98.54;98.72;4022230;0
Аэрофлот;D;20/11/18;000000;98.5;102.5;98.24;102.2;5583550;0
Аэрофлот;D;21/11/18;000000;102.2;109.44;102.1;108.8;21252160;0
Аэрофлот;D;22/11/18;000000;108.82;109.9;106.5;109.9;7595200;0
Аэрофлот;D;23/11/18;000000;109.9;113.9;109.38;113.74;11719540;0
Аэрофлот;D;26/11/18;000000;113.4;113.76;108.38;110.9;10131590;0
Аэрофлот;D;27/11/18;000000;110.22;115.8;110.2;113.28;10305870;0
Аэрофлот;D;28/11/18;000000;113.02;114.86;111.52;113.6;4349800;0
Аэрофлот;D;29/11/18;000000;114.02;116.56;113.14;113.14;9606180;0
Аэрофлот;D;30/11/18;000000;112.56;119.44;112.4;114.4;14211070;0
Аэрофлот;D;03/12/18;000000;114.38;115;110.04;111.84;9620830;0
Аэрофлот;D;04/12/18;000000;111.8;111.8;106.7;106.7;10931260;0
Аэрофлот;D;05/12/18;000000;106.92;109.72;106.92;107.8;6818380;0
Аэрофлот;D;06/12/18;000000;108.2;109.28;105.5;106.44;5006500;0
Аэрофлот;D;07/12/18;000000;107.08;108.56;103.7;103.7;7418500;0
Аэрофлот;D;10/12/18;000000;104.48;105.48;99.66;101.02;10986450;0
Аэрофлот;D;11/12/18;000000;101.34;103.38;100.66;102.72;4473990;0
Аэрофлот;D;12/12/18;000000;103;103.3;101.02;101.8;3405510;0
Аэрофлот;D;13/12/18;000000;102;103.2;101.12;102;3736810;0
Аэрофлот;D;14/12/18;000000;101.58;102.2;100;102.1;4017540;0
Аэрофлот;D;17/12/18;000000;102.12;102.44;100.62;101.04;2330740;0
Аэрофлот;D;18/12/18;000000;100.6;105.4;100.6;101.6;8413060;0
Аэрофлот;D;19/12/18;000000;102.4;104.5;101.54;102;7491000;0
Аэрофлот;D;20/12/18;000000;102;103;101;102.02;4633990;0
Аэрофлот;D;21/12/18;000000;103.28;103.36;101.38;102.2;3439820;0
Аэрофлот;D;24/12/18;000000;102.2;102.34;101.62;102.1;1750870;0
Аэрофлот;D;25/12/18;000000;102.1;103;100;100.8;4264840;0
Аэрофлот;D;26/12/18;000000;100.98;101.92;100.62;101.02;2608090;0
Аэрофлот;D;27/12/18;000000;102;102.2;100.2;100.5;3478500;0
Аэрофлот;D;28/12/18;000000;101;101.44;100.4;101;2973630;0
Аэрофлот;D;29/12/18;000000;101;101.4;100.66;101.18;713100;0
Аэрофлот;D;03/01/19;000000;101.9;101.9;100.72;101.5;1710190;0
Аэрофлот;D;04/01/19;000000;101.5;101.68;100.8;101.1;1320990;0
Аэрофлот;D;08/01/19;000000;101.5;101.84;100.8;101.1;1265180;0
Аэрофлот;D;09/01/19;000000;101.14;103.18;100.86;102.06;5537730;0
Аэрофлот;D;10/01/19;000000;102.88;105.14;102.46;105.14;6235350;0
Аэрофлот;D;11/01/19;000000;105.14;106.5;104.6;104.66;5808220;0
Аэрофлот;D;14/01/19;000000;104.68;106.96;103.76;106.22;4649660;0
Аэрофлот;D;15/01/19;000000;106.7;107.2;105.22;106.98;6100840;0
Аэрофлот;D;16/01/19;000000;106.4;109.26;106.14;108.4;5847190;0
Аэрофлот;D;17/01/19;000000;108.34;109.84;107.56;109.06;6083470;0
Аэрофлот;D;18/01/19;000000;109.58;110.3;106.74;107;7870530;0
Аэрофлот;D;21/01/19;000000;107.08;107.48;105.6;105.8;4701210;0
Аэрофлот;D;22/01/19;000000;105.8;106.96;105.24;105.24;3021950;0
Аэрофлот;D;23/01/19;000000;105.24;106.54;105.22;105.4;2956240;0
Аэрофлот;D;24/01/19;000000;105.78;106.04;104.78;105.38;3444490;0
Аэрофлот;D;25/01/19;000000;105.78;106.76;104.92;105.7;3185430;0
Аэрофлот;D;28/01/19;000000;105.9;106.8;105.06;105.8;2579360;0
Аэрофлот;D;29/01/19;000000;105.76;106.3;105.26;106.1;1942800;0
Аэрофлот;D;30/01/19;000000;106.1;109.08;106.02;108.6;8415050;0
Аэрофлот;D;31/01/19;000000;109.08;109.7;107.1;107.92;5842840;0
Аэрофлот;D;01/02/19;000000;108.06;108.56;105.08;105.22;7739440;0
Аэрофлот;D;04/02/19;000000;105.68;106.22;102.42;102.44;9699020;0
Аэрофлот;D;05/02/19;000000;100.3;103.3;100.02;102.26;11882560;0
Аэрофлот;D;06/02/19;000000;102.8;102.8;101.78;102;4598940;0
Аэрофлот;D;07/02/19;000000;101.6;102.2;101.12;101.62;3380950;0
Аэрофлот;D;08/02/19;000000;102.46;102.46;101.52;101.9;2128870;0
Аэрофлот;D;11/02/19;000000;102;102.48;101.68;101.78;2491040;0
Аэрофлот;D;12/02/19;000000;102;102.7;101.62;102.7;3969450;0
Аэрофлот;D;13/02/19;000000;102.12;102.42;100;100.14;6609270;0
Аэрофлот;D;14/02/19;000000;100;101.86;99.06;101.36;5850800;0
Аэрофлот;D;15/02/19;000000;101.68;102.32;100.66;101.62;3073200;0
Аэрофлот;D;18/02/19;000000;101.6;102.48;100.72;100.74;2008780;0
Аэрофлот;D;19/02/19;000000;100.76;101.24;99.56;100;4945030;0
Аэрофлот;D;20/02/19;000000;101;101.24;99.72;100.04;4304650;0
Аэрофлот;D;21/02/19;000000;100.2;100.48;99.76;100;4411660;0
Аэрофлот;D;22/02/19;000000;100.32;100.32;99.92;100.12;2059800;0
Аэрофлот;D;25/02/19;000000;100.12;100.38;99.36;100.04;4912110;0
Аэрофлот;D;26/02/19;000000;100.04;100.22;98.36;98.98;4806690;0
Аэрофлот;D;27/02/19;000000;99;99.44;95.96;97.7;9696010;0
Аэрофлот;D;28/02/19;000000;97.42;97.56;95.78;97.1;4360200;0
Аэрофлот;D;01/03/19;000000;96.54;97.74;96.54;96.76;3499940;0
Аэрофлот;D;04/03/19;000000;96.6;98.88;96.6;98.36;3927090;0
Аэрофлот;D;05/03/19;000000;96.4;97;94.5;96.26;7607800;0
Аэрофлот;D;06/03/19;000000;96.8;98.78;96.28;98.12;7144920;0
Аэрофлот;D;07/03/19;000000;98.3;99.9;97.3;99.68;6952420;0
Аэрофлот;D;11/03/19;000000;99.7;102.5;99.24;102.1;10108570;0
Аэрофлот;D;12/03/19;000000;102.5;102.62;100.12;100.22;3432780;0
Аэрофлот;D;13/03/19;000000;100.4;100.9;99.4;100.5;3427950;0
Аэрофлот;D;14/03/19;000000;99.94;101.3;98.2;99.66;5056350;0
Аэрофлот;D;15/03/19;000000;99.14;100.38;99.04;100.08;3710150;0
Аэрофлот;D;18/03/19;000000;100.04;100.52;99.12;99.92;3738600;0
Аэрофлот;D;19/03/19;000000;99.82;100.38;99.24;99.46;1869400;0
Аэрофлот;D;20/03/19;000000;99.52;99.92;98.2;98.22;4253960;0
Аэрофлот;D;21/03/19;000000;98.54;98.6;97.16;97.3;4878980;0
Аэрофлот;D;22/03/19;000000;97.7;97.7;96.58;97.66;3410500;0
Аэрофлот;D;25/03/19;000000;96.6;98.46;96.26;97;3975030;0
Аэрофлот;D;26/03/19;000000;97.1;97.56;96.84;97.02;1645190;0
Аэрофлот;D;27/03/19;000000;97.36;97.4;96.06;96.1;3834880;0
Аэрофлот;D;28/03/19;000000;96.06;97;95.86;96.7;1422810;0
Аэрофлот;D;29/03/19;000000;96.88;97.38;96.06;96.3;3472680;0
Аэрофлот;D;01/04/19;000000;96.68;97.78;96.34;97.78;2353150;0
Аэрофлот;D;02/04/19;000000;97.5;98.88;97.5;98.36;2684030;0
Аэрофлот;D;03/04/19;000000;98.9;99.34;97.72;98.5;2870640;0
Аэрофлот;D;04/04/19;000000;98.04;98.96;97.86;98.36;1033340;0
Аэрофлот;D;05/04/19;000000;98.98;99.66;97.88;99.54;2704300;0
Аэрофлот;D;08/04/19;000000;99.8;99.88;98.44;98.58;1455020;0
Аэрофлот;D;09/04/19;000000;98.58;98.98;96.76;97.24;2899920;0
Аэрофлот;D;10/04/19;000000;97.24;98.22;96.82;97.32;3069910;0
Аэрофлот;D;11/04/19;000000;97.36;98.62;97;98.4;2735030;0
Аэрофлот;D;12/04/19;000000;98.52;98.9;97.34;98.22;2962940;0
Аэрофлот;D;15/04/19;000000;97.84;98.88;97.7;98.72;2468590;0
Аэрофлот;D;16/04/19;000000;99;99.4;98.1;99.12;2951870;0
Аэрофлот;D;17/04/19;000000;99.3;99.38;98.28;98.62;1723610;0
Аэрофлот;D;18/04/19;000000;98.7;99.1;98;98;1010640;0
Аэрофлот;D;19/04/19;000000;98.48;98.48;97.5;97.6;719450;0
Аэрофлот;D;22/04/19;000000;97.84;98.3;97.52;97.6;1415480;0
Аэрофлот;D;23/04/19;000000;97.74;97.86;96.56;96.8;2774620;0
Аэрофлот;D;24/04/19;000000;96.8;97.12;96.14;96.32;2192780;0
Аэрофлот;D;25/04/19;000000;96.5;97.14;96;96.34;2557160;0
Аэрофлот;D;26/04/19;000000;96.4;97.12;96;97.12;2487010;0
Аэрофлот;D;29/04/19;000000;96.86;97.5;96.54;96.98;1843500;0
Аэрофлот;D;30/04/19;000000;96.74;97.3;96.32;96.32;3902950;0
Аэрофлот;D;02/05/19;000000;96.44;96.86;95.52;96.86;1433820;0
Аэрофлот;D;03/05/19;000000;96.9;96.98;96.14;96.7;1409820;0
Аэрофлот;D;06/05/19;000000;93.6;95.56;92.7;94.94;6252540;0
Аэрофлот;D;07/05/19;000000;95;95.42;94.3;94.5;2556300;0
Аэрофлот;D;08/05/19;000000;94.5;94.98;94.24;94.24;2476540;0
Аэрофлот;D;10/05/19;000000;94.3;94.58;92.9;92.9;2497240;0
Аэрофлот;D;13/05/19;000000;93.5;93.7;91.16;91.28;3442810;0
Аэрофлот;D;14/05/19;000000;91.22;92.9;91.22;91.6;2676030;0
Аэрофлот;D;15/05/19;000000;92;92.3;90.08;90.08;3805870;0
Аэрофлот;D;16/05/19;000000;90.38;92.96;90.12;91.68;5226630;0
Аэрофлот;D;17/05/19;000000;91.68;92.48;91.02;91.96;2428440;0
Аэрофлот;D;20/05/19;000000;92.2;92.2;90.84;91.08;2317150;0
Аэрофлот;D;21/05/19;000000;91.28;91.6;90.32;90.76;2203830;0
Аэрофлот;D;22/05/19;000000;90.58;91.38;90.2;91;2155550;0
Аэрофлот;D;23/05/19;000000;91.3;91.48;90.6;90.74;2702960;0
Аэрофлот;D;24/05/19;000000;90.98;91.72;90.94;91;3343510;0
Аэрофлот;D;27/05/19;000000;91.2;91.44;90.64;91.2;1457500;0
Аэрофлот;D;28/05/19;000000;91.2;91.58;90.68;90.68;3019680;0
Аэрофлот;D;29/05/19;000000;90.5;91.2;89.7;91.12;3249600;0
Аэрофлот;D;30/05/19;000000;91.12;91.48;90.36;90.42;1291480;0
Аэрофлот;D;31/05/19;000000;90.5;94.6;90.5;93.8;14350660;0
Аэрофлот;D;03/06/19;000000;93.4;96.8;93.22;96.8;15744000;0
Аэрофлот;D;04/06/19;000000;97.04;98.5;95.76;96.34;5721930;0
Аэрофлот;D;05/06/19;000000;96.4;96.84;94.5;96.1;3489930;0
Аэрофлот;D;06/06/19;000000;95.98;97.36;95.56;96.02;3743950;0
Аэрофлот;D;07/06/19;000000;96;96.7;95.24;95.86;2084950;0
Аэрофлот;D;10/06/19;000000;95.8;96.62;95;95.4;2322510;0
Аэрофлот;D;11/06/19;000000;95.5;96.86;95.12;95.6;3687660;0
Аэрофлот;D;13/06/19;000000;95.7;98.4;95.44;98.18;7163650;0
Аэрофлот;D;14/06/19;000000;98.32;98.8;97.16;97.66;5472880;0
Аэрофлот;D;17/06/19;000000;97.94;100.82;97.78;100.38;10725410;0
Аэрофлот;D;18/06/19;000000;100;101.82;99.02;99.3;9208180;0
Аэрофлот;D;19/06/19;000000;99.32;99.92;98.34;99.26;5089000;0
Аэрофлот;D;20/06/19;000000;98.88;99.88;97.32;98.9;7583800;0
Аэрофлот;D;21/06/19;000000;99.2;100.66;98.98;100.04;6978290;0
Аэрофлот;D;24/06/19;000000;100.2;100.88;99.82;100.24;2414930;0
Аэрофлот;D;25/06/19;000000;100.18;102.2;99.9;101.3;7631310;0
Аэрофлот;D;26/06/19;000000;101.3;102.4;101.04;101.52;3172120;0
Аэрофлот;D;27/06/19;000000;101.54;102.8;101.3;102.32;4540920;0
Аэрофлот;D;28/06/19;000000;102.34;102.74;101.22;101.76;2765320;0
Аэрофлот;D;01/07/19;000000;102.12;102.3;100.06;101.46;4893200;0
Аэрофлот;D;02/07/19;000000;101.06;101.38;100.7;100.9;2962100;0
Аэрофлот;D;03/07/19;000000;101.48;104.6;101.22;104.6;12478870;0
Аэрофлот;D;04/07/19;000000;102.52;110.8;102.44;110.6;28317310;0
Аэрофлот;D;05/07/19;000000;110.94;112.8;108.2;110;14924500;0
Аэрофлот;D;08/07/19;000000;108.98;110.32;107.54;108.5;5084850;0
Аэрофлот;D;09/07/19;000000;108;108.76;105.56;106.94;6355120;0
Аэрофлот;D;10/07/19;000000;106.9;109.84;106.42;108.62;7019120;0
Аэрофлот;D;11/07/19;000000;109.16;109.48;106.7;107.82;4733330;0
Аэрофлот;D;12/07/19;000000;107.52;109.8;107;109.08;4809300;0
Аэрофлот;D;15/07/19;000000;109.5;111.32;108.5;108.5;4487320;0
Аэрофлот;D;16/07/19;000000;108.7;109.34;107.56;107.7;4093090;0
Аэрофлот;D;17/07/19;000000;107.6;108.34;106.26;108.2;2950760;0
Аэрофлот;D;18/07/19;000000;107.96;108.64;107.04;107.54;1443470;0
Аэрофлот;D;19/07/19;000000;107.86;108.62;107.62;108.02;2045000;0
Аэрофлот;D;22/07/19;000000;108;108.54;107.6;108.2;1576220;0
Аэрофлот;D;23/07/19;000000;108.08;108.22;107.36;108.1;3518800;0
Аэрофлот;D;24/07/19;000000;108.32;109.82;106.54;106.78;4126120;0
Аэрофлот;D;25/07/19;000000;107.3;108.36;105.68;107.5;3423480;0
